医療機関,合計,療養,精神,結核感染症,一般
17019,311,0,0,31,280
17020,500,160,0,0,340
17021,227,0,0,0,227
17022,184,100,0,0,84
17023,159,40,0,0,119
17024,260,,,,
17025,314,90,0,0,224
17026,199,49,0,4,146
17027,199,144,0,0,55
17028,174,0,0,0,174
18001,600,0,0,14,586
18002,456,100,100,10,246
18003,199,0,0,0,199
18005,460,0,0,4,456
18006,273,0,0,3,270
18007,260,0,260,0,0
18008,332,0,0,2,330
18009,315,0,0,0,315
18010,961,0,279,14,668
18011,208,0,50,0,158
18012,600,0,41,0,559
18013,216,0,0,0,216
18014,179,0,0,4,175
18015,219,90,0,0,129
18016,117,90,0,0,27
19001,606,,,,
19002,408,0,0,6,402
19003,651,0,0,22,629
19004,168,0,0,0,168
19006,497,0,200,0,297
19007,108,54,0,0,54
19008,304,50,0,4,250
19009,64,25,0,0,39
19010,283,0,0,0,283
19011,276,0,0,6,270
19012,160,0,0,0,160
19013,282,0,282,0,0
19014,150,0,0,0,150
19015,158,0,0,0,158
19016,200,52,0,4,144
19017,275,45,0,6,224
20001,420,0,0,4,416
20002,323,80,0,0,243
20003,450,0,0,0,450
20004,267,0,0,0,267
20005,423,0,0,4,419
20006,452,52,240,0,160
20007,186,48,0,4,134
20008,707,0,40,0,667
20009,201,0,0,6,195
20010,305,0,0,0,305
20011,460,0,0,0,460
20013,577,38,84,4,451
20014,322,0,0,0,322
20015,180,0,0,0,180
20016,680,0,45,0,635
20017,433,0,0,0,433
20018,213,0,0,0,213
20019,400,0,0,0,400
20020,365,0,0,4,361
20021,304,0,0,32,272
20022,320,0,120,0,200
20023,284,44,0,0,240
20024,243,0,0,0,243
20025,394,0,0,0,394
20026,360,32,0,0,328
20027,455,0,30,0,425
20028,311,0,201,0,110
20029,300,0,0,0,300
20030,276,60,0,4,212
20031,381,288,0,0,93
20032,295,25,0,4,266
20033,199,0,0,0,199
20034,199,0,0,0,199
20035,66,0,0,0,66
20036,151,0,0,0,151
20037,60,0,0,0,60
20038,103,24,0,0,79
20039,111,56,0,0,55
20040,127,48,0,0,79
20041,83,40,0,0,43
20042,297,97,0,0,200
20043,351,40,112,0,199
20044,97,45,0,0,52
20045,140,0,0,0,140
20046,110,54,0,0,56
20047,99,49,0,0,50
20048,136,92,0,0,44
20049,151,117,0,0,34
20050,60,0,0,0,60
21001,614,0,37,0,577
21002,609,0,50,0,559
21003,590,0,0,0,590
21004,311,0,3,8,300
21005,271,0,0,0,271
21006,480,0,0,0,480
21007,300,0,0,12,288
21008,897,0,0,40,857
21009,575,0,46,19,510
21010,495,0,0,6,489
21011,501,0,0,0,501
21012,347,0,0,0,347
21013,206,0,0,0,206
21014,452,0,0,0,452
21015,250,0,0,0,250
21016,468,0,0,52,416
21017,332,0,0,0,332
21018,250,0,0,0,250
21019,316,60,0,0,256
21020,91,33,0,0,58
21021,199,51,0,0,148
21022,122,0,0,0,122
21023,150,50,0,0,100
21024,136,36,0,0,100
21025,199,0,0,0,199
21026,360,0,0,0,360
21027,65,20,0,0,45
21028,240,102,0,0,138
21029,350,0,0,0,350
21030,150,50,0,0,100
21031,270,0,0,0,270
21033,281,52,0,0,229
21034,113,56,0,0,57
21035,99,44,0,0,55
21036,125,68,0,0,57
22001,606,0,0,6,600
22002,312,0,0,0,312
22003,350,0,0,0,350
22004,613,0,37,0,576
22005,720,0,0,100,620
22006,400,,,,
22007,246,0,0,0,246
22008,387,0,0,0,387
22009,500,0,0,2,498
22010,552,0,0,0,552
22011,750,0,0,0,750
22012,564,0,0,0,564
22013,934,0,104,20,810
22014,278,0,278,0,0
22015,352,,,,
22016,471,0,0,0,471
22017,536,35,20,14,467
22018,277,0,28,0,249
22019,269,31,0,4,234
22020,521,0,0,0,521
22022,500,55,0,0,445
22023,506,0,0,6,500
22024,410,0,0,0,410
22025,250,0,0,0,250
22026,450,0,0,0,450
22027,589,0,0,0,589
22029,520,0,0,16,504
22030,517,0,0,0,517
22031,292,55,0,0,237
22032,312,0,0,0,312
22033,223,42,0,0,181
22034,500,0,0,4,496
22035,144,0,0,0,144
22036,142,142,0,0,0
22037,338,0,50,30,258
22038,100,50,0,0,50
22039,260,0,58,0,202
22041,163,0,0,0,163
22042,101,0,0,0,101
22043,141,0,0,2,139
22044,265,95,0,0,170
22045,277,92,0,0,185
22046,400,60,0,0,340
22047,120,120,0,0,0
22048,131,0,0,0,131
22049,196,100,46,0,50
22050,112,72,0,0,40
22051,225,45,0,0,180
22052,197,197,0,0,0
23001,1035,0,50,0,985
23002,749,0,0,0,749
23003,499,0,0,0,499
23004,740,0,50,0,690
23005,414,0,0,0,414
23007,852,0,0,0,852
23008,808,0,36,0,772
23010,621,0,0,0,621
23011,663,0,0,0,663
23013,701,0,0,50,651
23014,322,0,0,0,322
